date,precipitacion_asuncion_mm,precipitacion_chilete_mm,precipitacion_contumaza_mm,precipitacion_granjaporcon_mm,precipitacion_huacraruro_mm,precipitacion_livis_mm,precipitacion_llapa_mm,precipitacion_magdalena_mm,precipitacion_montegrande_mm,precipitacion_quebradahonda_mm,precipitacion_quilcate_mm,precipitacion_sanjuan_mm,precipitacion_talla_mm
1975-10-01,93.2,24.7,104.2,115.0,90.2,45.7,108.8,49.1,NA,48.7,52.5,140.1,4.3
1975-11-01,NA,10.2,NA,91.0,53.3,13.5,69.8,13.1,NA,54.9,31.7,59.2,3.2
1975-12-01,26.5,NA,8.0,20.0,10.7,0.0,4.3,2.5,NA,43.7,11.1,13.1,0.0
1976-01-01,121.5,54.1,122.7,189.0,146.0,139.3,225.4,76.0,NA,60.7,36.0,283.7,12.6
1976-02-01,161.0,57.2,94.1,135.0,131.0,87.7,210.3,47.1,NA,39.3,28.0,163.1,2.7
1976-03-01,43.3,12.6,45.6,185.0,118.3,56.8,106.3,59.7,NA,54.6,11.0,179.7,1.1
1976-04-01,57.6,21.6,69.2,61.1,25.5,101.3,86.6,22.0,NA,62.3,3.0,98.1,1.3
1976-05-01,8.6,5.2,8.9,58.0,0.5,9.0,49.4,14.8,NA,42.3,1.0,49.2,0.3
1976-06-01,NA,4.0,12.0,30.0,0.4,14.0,39.7,6.6,NA,17.2,NA,4.5,0.0
1976-07-01,NA,NA,NA,NA,NA,8.7,0.0,NA,NA,0.0,2.5,NA,1.1
1976-08-01,0.4,NA,1.0,12.0,11.5,3.0,0.0,NA,NA,0.0,3.0,NA,0.0
1976-09-01,NA,NA,NA,27.0,7.0,0.0,0.0,NA,NA,18.3,1.5,NA,0.0
1976-10-01,NA,1.6,6.0,62.0,NA,4.2,67.5,9.2,NA,4.7,5.0,19.0,0.0
1976-11-01,NA,NA,6.0,26.0,NA,4.0,53.5,18.4,NA,37.9,6.5,39.3,0.0
1976-12-01,17.0,17.3,25.4,79.0,NA,13.0,54.8,45.7,NA,25.9,9.0,76.9,3.2
1977-01-01,137.1,50.1,110.9,197.0,NA,119.0,171.2,132.6,NA,14.8,11.0,271.0,1.4
1977-02-01,138.4,142.0,111.3,236.0,NA,200.5,232.8,166.1,NA,49.7,16.5,423.4,11.9
1977-03-01,68.8,73.0,119.6,175.0,NA,79.3,143.4,40.0,NA,43.7,31.0,194.4,1.5
1977-04-01,64.7,36.0,50.4,100.5,NA,24.5,83.0,47.9,NA,49.2,NA,75.7,0.0
1977-05-01,64.7,6.7,NA,NA,NA,9.8,44.3,0.2,NA,30.6,20.2,4.8,0.0
1977-06-01,NA,NA,NA,13.5,NA,0.0,4.9,0.2,NA,0.0,27.5,1.6,0.0
1977-07-01,NA,NA,NA,6.5,NA,0.0,0.0,NA,NA,0.0,1.3,NA,0.0
1977-08-01,NA,NA,NA,0.2,NA,0.0,0.0,NA,NA,0.0,1.0,NA,0.0
1977-09-01,4.2,3.5,NA,62.5,7.0,23.0,40.3,6.5,NA,0.0,22.3,16.6,2.1
1977-10-01,NA,0.8,10.0,96.5,49.1,7.7,47.9,5.4,NA,31.4,67.9,19.1,0.0
